outlet,domain,admitted_on,admission_basis,evidence_url,tier,conflict_of_interest
America's Test Kitchen,americastestkitchen.com,2026-09-19,masthead,https://www.americastestkitchen.com/about-us/sponsors,1_methodology,none
NYT Wirecutter,nytimes.com/wirecutter,2026-09-19,masthead,https://www.nytimes.com/wirecutter/about/,1_methodology,affiliate
Sporked,sporked.com,2026-09-19,masthead,https://sporked.com/about/,1_methodology,none
Epicurious,epicurious.com,2026-09-19,masthead,https://www.epicurious.com/about/about-us,2_editorial,affiliate
Bon Appetit,bonappetit.com,2026-09-19,masthead,https://www.bonappetit.com/story/easy-ways-our-editors-turn-store-bought-gnocchi-into-dinner,2_editorial,affiliate
Tasting Table,tastingtable.com,2026-09-19,masthead,https://www.tastingtable.com/about/,2_editorial,affiliate
The Takeout,thetakeout.com,2026-09-19,masthead,https://www.thetakeout.com:443/about/,2_editorial,none
Thrillist,thrillist.com,2026-09-19,masthead,https://www.thrillist.com/thrillist-about-us,2_editorial,affiliate
PepperScale,pepperscale.com,2026-09-19,masthead,https://pepperscale.com/about/,2_editorial,affiliate
Scott Roberts Hot Sauce Reviews,scottrobertsweb.com,2026-09-19,masthead,https://scottroberts.org/about-scott-roberts/,2_editorial,none
Pepper Geek,peppergeek.com,2026-09-19,masthead,https://peppergeek.com/about-us/,2_editorial,affiliate
Los Angeles Times Food,latimes.com,2026-09-19,masthead,https://www.latimes.com/about,2_editorial,none
Garden & Gun,gardenandgun.com,2026-09-19,masthead,https://gardenandgun.com/about-us,2_editorial,none
BBC Good Food,bbcgoodfood.com,2026-09-19,methodology_page,https://www.bbcgoodfood.com/review/good-food-product-reviews-and-taste-tests-how-they-work,2_editorial,none
Mashed,mashed.com,2026-09-19,masthead,https://www.mashed.com/about/,3_listicle,affiliate
The Daily Meal,thedailymeal.com,2026-09-19,masthead,https://www.thedailymeal.com:443/about/,3_listicle,affiliate
Chowhound,chowhound.com,2026-09-19,masthead,https://www.chowhound.com/about/,3_listicle,affiliate
Hot Sauce Depot Blog,hotsaucedepot.com,2026-09-19,masthead,https://hotsaucedepot.com/about-us/,3_listicle,sells_products
Grow Hot Peppers,growhotpeppers.com,2026-09-19,masthead,https://growhotpeppers.com/about/,2_editorial,affiliate
Taste of Home Test Kitchen,tasteofhome.com,2026-09-19,masthead,https://www.tasteofhome.com/author/tohapi/,1_methodology,affiliate
Cheapism,cheapism.com,2026-09-19,masthead,https://www.cheapism.com/about-us/,3_listicle,affiliate
VinePair,vinepair.com,2026-09-19,masthead,https://vinepair.com/author/vinepair-staff/,2_editorial,affiliate
Food Republic,foodrepublic.com,2026-09-19,masthead,https://www.foodrepublic.com/about/,2_editorial,affiliate
Phoenix New Times,phoenixnewtimes.com,2026-09-19,masthead,https://www.phoenixnewtimes.com/about/contact/,2_editorial,none
Austin Chronicle,austinchronicle.com,2026-09-19,masthead,https://www.austinchronicle.com/author/the-chronicle-news-staff/,2_editorial,none
Saveur,saveur.com,2026-09-19,masthead,https://www.saveur.com/,2_editorial,affiliate
PureWow,purewow.com,2026-09-19,masthead,https://www.purewow.com/page/about-us,3_listicle,affiliate
Spoon University,spoonuniversity.com,2026-09-19,masthead,https://spoonuniversity.com/about-us/,3_listicle,none
Gear Patrol,gearpatrol.com,2026-09-19,methodology_page,https://www.gearpatrol.com/about/how-we-evaluate-products/,2_editorial,affiliate
InsideHook,insidehook.com,2026-09-19,masthead,https://www.insidehook.com/about-us,2_editorial,affiliate
Complex,complex.com,2026-09-19,masthead,https://www.complex.com/sneakers/a/complexstaff3/nike-air-max-95-big-bubble-greedy,2_editorial,none
TASTE,tastecooking.com,2026-09-19,masthead,https://tastecooking.com/about_us/,2_editorial,none
The Infatuation,theinfatuation.com,2026-09-19,masthead,https://www.theinfatuation.com/about,2_editorial,none
Pepper Palace,pepperpalace.com,2026-09-19,masthead,https://pepperpalace.com/pages/our-story,3_listicle,sells_products
The Spice House,thespicehouse.com,2026-09-19,masthead,https://www.thespicehouse.com/collections/corporate-gifting,3_listicle,sells_products
Savory Spice Shop,savoryspiceshop.com,2026-09-19,masthead,https://www.savoryspiceshop.com/pages/about-us,3_listicle,sells_products
Sandia Seed,sandiaseed.com,2026-09-19,masthead,https://www.sandiaseed.com/pages/about-us,3_listicle,sells_products
Delicious Magazine,deliciousmagazine.co.uk,2026-09-19,masthead,https://www.deliciousmagazine.co.uk/about/,2_editorial,affiliate
Olive Magazine,olivemagazine.com,2026-09-19,masthead,https://www.olivemagazine.com/about-olive-magazine/,2_editorial,affiliate
Great British Chefs,greatbritishchefs.com,2026-09-19,masthead,https://www.greatbritishchefs.com/about-us,2_editorial,none
Lifehacker Food,lifehacker.com,2026-09-19,masthead,https://lifehacker.com/our-team,3_listicle,affiliate
Paste Magazine,pastemagazine.com,2026-09-19,masthead,https://www.pastemagazine.com/music/best-new-songs/best-new-songs-september-17-2026,2_editorial,none
Wide Open Eats,wideopencountry.com,2026-09-19,masthead,https://www.wideopencountry.com/about-us/,3_listicle,affiliate
Sauce Mania,saucemania.com.au,2026-09-19,masthead,https://www.saucemania.com.au/about-us/,3_listicle,sells_products
